team_name,tickets
Red and Black Benches,30
CCA Team 1,30
Geisel Library,29
OlyFans,29
o geng,29
bald lolz,28
We Wendys,28
Here for CP,27
pog frogs,27
⟪❰ ℋ👁▙🕳꒒𝒊√𝖊💀𝓯ඞℕ𝒮 ❱⟫,28
Sala,25
The Planetarium <{O}>,24
Scalm,27
orz,25
Triepod,26
++C,27
ඞ🍉😎😎 🤣💪 🤣 🤣🥰🥰💪🥰🥰ඞ,26
Princeton CPT Alpha,25
Crusty Crustaceans,25
Team,23
SHS,24
AC47,24
Mr Lu,24
RIP Poggers,26
NoGithub,26
Monkey Monks,23
lunchbox,26
The N3rds,22
Good team,23
Mikey Groundhogs,25
Boars Typing,24
Phishing Cats,23
sad,23
Springlight 1,23
amogus,23
e building dumpster fire,23
Rusty Rustaceans,23
wesaco,22
Populus-1,22
Baby Yoda Math Team,23
Creativity Underflow,22
Permutationforces,24
Maple Trees,21
Glaceon,21
Er Zi,21
Phigros Phanatics <3,20
Geometry Dash,22
Gators,22
RedJojoGitoWiz,23
Victorious Vikings,22
Carmel high school team,22
Seggs Faults,22
Shromp,20
super festive,23
X Camp Team Lydia,21
Black & Gold,21
CCA Team 2,21
It Don't Matter,20
The Phoenixes,18
CCA Team 3,20
The Acers,22
Galaxy Girls,19
hog ridaaaaaaaa,19
Marmite Gimbap,19
The A players,20
No Names,19
Betty Ambassadors,19
The Last Enemy (TLE),20
Potato Salad,20
Jam,18
Ineligible for Prizes,18
Fake Nerds,19
X-Camp - Athena,19
gardner2022,19
The Cool Carrots,19
No I'm not talking,18
we forgot how to code,16
>:(,18
HackerCory,19
JAR,16
Technodoggo,17
name,17
Grizzlies,18
Princeton CPT Beta,18
Mushrooms,17
Trouble-shoe-t,18
Seborgium,17
Atropos,17
mmm,17
BMT Orange,17
Monkey in the middle,17
ThatRandomGuyOverThere,16
nolifers,17
Molerats,16
Hackstreet Boys,16
C0DET1GER,18
ILB,18
Watt Wurray,18
TLE Lovers,18
Pythava,16
Team SC,17
KNR,16
Team Blue,16
Duck,16
Springlight2,15
Brenna Ren,17
Berkeley Turkeys,16
jo(nathan)^2,17
Rice Farmers,17
RandomHash,15
Springlight4,16
jamal,16
C.V.S,16
Democratic Republic of Congo,16
:0,16
Triple A,16
BKWX,16
wackcode,16
Yiran Hu,16
Springlight3,16
Free Thinkers,16
TC come back,16
DLOGTIME,15
ඞ ඞ ඞ There is one imposer among us ඞ ඞ ඞ,15
Rocket,15
niuniu12,15
Algorithm Athletes,15
champu,15
Vincent's Team,16
Ling-Yi Wu,15
BHS Coders,15
The Elusive Semicolon,15
The Gangsters,15
Aak-745,15
XCamp302,15
The Pikachus,15
I solo,14
Master,15
Camel,15
FireLazer66,15
Team Jack,14
Rambunctious Ravagers,14
Exceptioners,14
pink fluffy unicorns,14
Cloudy with a chance of errors,14
Libertyville High School,14
Dri,14
We Need A Second Opinion,14
AT,14
LeoTechs,14
Albert,14
deagle demons,14
X-Camp Team CSSS,14
Princeton CPT Delta,14
eevee,14
Geniusness,14
Mr. Bouwlean,14
Placeholder,13
Typewriter Monkeys,13
sagacious,13
fivebitstotheright,13
Robopatties,13
opp central,13
PSN,13
Mission,13
a team,13
Springlight5,13
Error Message,13
OCS 1,13
Alex's Team,13
BradleyLouieFanClub #m{nlIO0w',13
Flaming Eiffel,13
help im trapped in a computer chip factory,13
Exothermic Nexus,13
Princeton CPT Gamma,13
SuperWin777,13
the big,13
Populus-2,13
Ansh,13
Hillary,13
Austin,12
Wet Socks,12
Vegemite Sushi,11
Princeton CPT Epsilon,12
2025zm,12
Auto,12
DAOSTEM5,12
robodoge,12
Raccoders,12
One Man Team,12
Purple Carrots,12
Springlight6,12
CrAzY CS,12
The Webb Schools,12
Araav Nayak,12
x-camp team,12
JW,12
Professional Procrastinators,12
Kathland,12
Amateur Coders,12
Yasuo,12
Python Pirate,12
SYR-777,12
ehvw whdp,12
Hello Panda,11
Zoe,11
Springlight7,11
Goopy,11
Carissa,11
Team No Carry,11
colourhero,11
Anything is fine,11
Team L,11
Chong Min,11
Kevin+Tiff,11
Team WIT,11
RSR,11
Completely Clueless,11
2wo 9uys,11
I coffeeSnakes,11
CaliCat,11
5Ya23,11
IDK,11
Traba,11
New Bee,10
Evan,10
N/A,10
CCA,10
C--,10
Javalol,10
sauce,10
MMMM,10
gaozl,10
apesontop,10
Monkeys with Typewriters,10
Arjun_Reddy_2006,10
MindstreamX,10
Ping Pong,10
｡゜(｀Д´)゜｡,0
2022Capuchino_team1,0
AASquare Stars,0
accept me into ucb,0
amanda,0
Bare Minimum,0
Beat Around The Bear,0
Cal,0
Celestial Interface,0
Chipmunks,0
dhakka_mukki_nahi,0
Doritos,0
dragonlands,0
Flora Mei,0
geometry meow,0
goncharov (1973),0
Hawkeye_Hornets,0
Hevsel,0
Hydra,0
Iced tea,0
Just me,0
Keats,0
Lewis Hamilton,0
Mission San Jose High School,0
NEON,0
Nerds,0
Parthy,0
Populus-3,0
red root floaters,0
RLYC233,0
Soosh,0
Springlight8,0
Team pancakes,0
Team2022,0
The Cousins,0
tryharder,0
uhuh,0
Winners,0
you used to call me on my cellphone,0
